device: cpu
warm-started backbone from ced_baseline_seed3.pt (missing 0, unexpected 0)
parameters: 166,536 (compiler 25,734, notes 99,008, router 20,866)
step=250 stage=0 notes=0.128 routed=0.147 detailed=1.000 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=2.204 suff=2.203 n_notes=23.9 overlap=0.022
step=500 stage=0 notes=0.144 routed=0.147 detailed=1.000 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=2.168 suff=2.167 n_notes=23.9 overlap=0.004
step=750 stage=0 notes=0.433 routed=0.283 detailed=1.000 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.276 suff=0.275 n_notes=23.9 overlap=0.018
step=801 decoder unfrozen
step=1000 stage=0 notes=0.447 routed=0.414 detailed=0.722 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.232 suff=0.236 n_notes=23.9 overlap=0.006
step=1250 stage=0 notes=0.439 routed=0.422 detailed=0.478 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.112 suff=0.111 n_notes=23.9 overlap=0.006
step=1500 stage=0 notes=0.383 routed=0.422 detailed=0.475 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.085 suff=0.085 n_notes=23.9 overlap=0.008
step=1750 stage=0 notes=0.414 routed=0.403 detailed=0.475 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.094 suff=0.133 n_notes=23.9 overlap=0.004
step=2000 stage=0 notes=0.444 routed=0.419 detailed=0.481 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.125 suff=0.125 n_notes=23.9 overlap=0.002
step=2250 stage=0 notes=0.411 routed=0.411 detailed=0.486 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.068 suff=0.074 n_notes=23.9 overlap=0.001
step=2500 stage=0 notes=0.419 routed=0.411 detailed=0.464 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.038 suff=0.038 n_notes=23.9 overlap=0.001
step=2750 stage=0 notes=0.392 routed=0.428 detailed=0.483 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.090 suff=0.090 n_notes=23.9 overlap=0.002
step=3000 stage=0 notes=0.389 routed=0.403 detailed=0.469 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.097 suff=0.096 n_notes=23.9 overlap=0.001
step=3250 stage=0 notes=0.433 routed=0.414 detailed=0.483 | slots=42.0 routed_slots=80.0 fired=0.00 | L_notes=0.041 suff=0.041 n_notes=23.9 overlap=0.000
